X Y Tilt_Depth
7350.0000 9176.6318 289.4366
7310.5732 9150.0000 286.8591
7300.0000 9141.8952 286.5107
7258.5223 9100.0000 281.5574
7250.0000 9088.9731 280.8502
7223.6736 9050.0000 277.8269
7200.0075 9000.0000 275.8904
7200.0000 8999.9777 275.8898
7182.8751 8950.0000 274.4169
7171.7238 8900.0000 273.5318
7164.9539 8850.0000 273.8343
7161.3548 8800.0000 273.9285
7160.0055 8750.0000 274.2190
7160.1968 8700.0000 274.4533
7161.3862 8650.0000 274.7702
7163.1687 8600.0000 274.9468
7165.2553 8550.0000 274.8923
7167.4494 8500.0000 274.5904
7169.6253 8450.0000 274.0606
7171.7076 8400.0000 273.3402
7173.6565 8350.0000 272.4703
7175.4544 8300.0000 271.4913
7177.0979 8250.0000 270.4391
7178.5919 8200.0000 269.3441
7179.9459 8150.0000 268.2308
7181.1711 8100.0000 267.1185
7182.2797 8050.0000 266.0221
7183.2833 8000.0000 264.9523
7184.1930 7950.0000 263.9169
7185.0190 7900.0000 262.9208
7185.7702 7850.0000 261.9675
7186.4549 7800.0000 261.0585
7187.0802 7750.0000 260.1941
7187.6525 7700.0000 259.3744
7188.1775 7650.0000 258.5981
7188.6601 7600.0000 257.8641
7189.1045 7550.0000 257.1706
7189.5146 7500.0000 256.5159
7189.8938 7450.0000 255.9093
7190.2450 7400.0000 255.3757
7190.5709 7350.0000 254.8726
7190.8738 7300.0000 254.3984
7191.1557 7250.0000 253.9514
7191.4184 7200.0000 253.5299
7191.6636 7150.0000 253.1325
7191.8928 7100.0000 252.7576
7192.1073 7050.0000 252.4040
7192.3081 7000.0000 252.0702
7192.4964 6950.0000 251.7552
7192.6730 6900.0000 251.4579
7192.8390 6850.0000 251.1771
7192.9949 6800.0000 250.9120
7193.1415 6750.0000 250.6616
7193.2795 6700.0000 250.4251
7193.4094 6650.0000 250.2016
7193.5317 6600.0000 249.9906
7193.6468 6550.0000 249.7913
7193.7553 6500.0000 249.6030
7193.8576 6450.0000 249.4252
7193.9539 6400.0000 249.2574
7194.0446 6350.0000 249.0990
7194.1300 6300.0000 248.9497
7194.2105 6250.0000 248.8089
7194.2861 6200.0000 248.6762
7194.3573 6150.0000 248.5513
7194.4241 6100.0000 248.4339
7194.4868 6050.0000 248.3237
7194.5456 6000.0000 248.2202
7194.6006 5950.0000 248.1233
7194.6520 5900.0000 248.0327
7194.6999 5850.0000 247.9482
7194.7445 5800.0000 247.8696
7194.7858 5750.0000 247.7966
7194.8240 5700.0000 247.7292
7194.8593 5650.0000 247.6670
7194.8915 5600.0000 247.6101
7194.9209 5550.0000 247.5581
7194.9475 5500.0000 247.5111
7194.9714 5450.0000 247.4689
7194.9926 5400.0000 247.4314
7195.0112 5350.0000 247.3984
7195.0273 5300.0000 247.3701
7195.0407 5250.0000 247.3462
7195.0518 5200.0000 247.3268
7195.0603 5150.0000 247.3116
7195.0664 5100.0000 247.3009
7195.0700 5050.0000 247.2945
7195.0712 5000.0000 247.2924
7195.0700 4950.0000 247.2945
7195.0663 4900.0000 247.3010
7195.0602 4850.0000 247.3118
7195.0516 4800.0000 247.3269
7195.0406 4750.0000 247.3465
7195.0271 4700.0000 247.3704
7195.0110 4650.0000 247.3988
7194.9923 4600.0000 247.4317
7194.9711 4550.0000 247.4693
7194.9472 4500.0000 247.5116
7194.9205 4450.0000 247.5587
7194.8911 4400.0000 247.6107
7194.8588 4350.0000 247.6677
7194.8236 4300.0000 247.7300
7194.7853 4250.0000 247.7974
7194.7439 4200.0000 247.8705
7194.6993 4150.0000 247.9492
7194.6513 4100.0000 248.0337
7194.5999 4050.0000 248.1243
7194.5449 4000.0000 248.2213
7194.4860 3950.0000 248.3248
7194.4233 3900.0000 248.4352
7194.3564 3850.0000 248.5527
7194.2852 3800.0000 248.6777
7194.2095 3750.0000 248.8104
7194.1290 3700.0000 248.9513
7194.0435 3650.0000 249.1007
7193.9527 3600.0000 249.2592
7193.8564 3550.0000 249.4271
7193.7541 3500.0000 249.6050
7193.6455 3450.0000 249.7934
7193.5303 3400.0000 249.9928
